PC=0000000000000000, REG[ 5]=0000000000000000
PC=00000000000000ac, ---
PC=00000000000000b0, ---
PC=00000000000000b4, ---
PC=0000000000000028, REG[ 2]=0000000000000014
PC=000000000000002c, ---
PC=0000000000000030, ---
PC=0000000000000034, ---
PC=0000000000000038, ---
PC=000000000000003c, ---
PC=0000000000000040, ---
PC=0000000000000044, ---
PC=0000000000000048, ---
PC=000000000000004c, ---
PC=0000000000000050, REG[ 3]=0000000000000014
PC=0000000000000054, ---
PC=0000000000000058, ---
PC=000000000000005c, ---
PC=0000000000000060, ---
PC=0000000000000064, ---
PC=0000000000000068, ---
PC=000000000000006c, ---
PC=0000000000000070, ---
PC=0000000000000074, ---
PC=0000000000000078, REG[ 1]=0000000000001018
PC=000000000000007c, ---
PC=0000000000000080, ---
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=000000000000008c, REG[ 5]=0000000000000003
PC=0000000000000090, ---
PC=0000000000000094, ---
PC=0000000000000098, ---
PC=000000000000009c, ---
PC=00000000000000a0, REG[ 4]=0000000000000001
PC=00000000000000a4, ---
PC=00000000000000a8, ---
PC=00000000000000ac, ---
PC=00000000000000b0, ---
PC=00000000000000b4, ---
PC=0000000000000028, REG[ 2]=000000000000001e
PC=000000000000002c, ---
PC=0000000000000030, ---
PC=0000000000000034, ---
PC=0000000000000038, ---
PC=000000000000003c, ---
PC=0000000000000040, ---
PC=0000000000000044, ---
PC=0000000000000048, ---
PC=000000000000004c, ---
PC=0000000000000050, REG[ 3]=000000000000001e
PC=0000000000000054, ---
PC=0000000000000058, ---
PC=000000000000005c, ---
PC=0000000000000060, ---
PC=0000000000000064, ---
PC=0000000000000068, ---
PC=000000000000006c, ---
PC=0000000000000070, ---
PC=0000000000000074, ---
PC=0000000000000078, REG[ 1]=0000000000001020
PC=000000000000007c, ---
PC=0000000000000080, ---
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=000000000000008c, REG[ 5]=0000000000000004
PC=0000000000000090, ---
PC=0000000000000094, ---
PC=0000000000000098, ---
PC=000000000000009c, ---
PC=00000000000000a0, REG[ 4]=0000000000000001
PC=00000000000000a4, ---
PC=00000000000000a8, ---
PC=00000000000000ac, ---
PC=00000000000000b0, ---
PC=00000000000000b4, ---
PC=0000000000000028, REG[ 2]=0000000000000028
PC=000000000000002c, ---
PC=0000000000000030, ---
PC=0000000000000034, ---
PC=0000000000000038, ---
PC=000000000000003c, ---
PC=0000000000000040, ---
PC=0000000000000044, ---
PC=0000000000000048, ---
PC=000000000000004c, ---
PC=0000000000000050, REG[ 3]=0000000000000028
PC=0000000000000054, ---
PC=0000000000000058, ---
PC=000000000000005c, ---
PC=0000000000000060, ---
PC=0000000000000064, ---
PC=0000000000000068, ---
PC=000000000000006c, ---
PC=0000000000000070, ---
PC=0000000000000074, ---
PC=0000000000000078, REG[ 1]=0000000000001028
PC=000000000000007c, ---
PC=0000000000000080, ---
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=000000000000008c, REG[ 5]=0000000000000005
PC=0000000000000090, ---
PC=0000000000000094, ---
PC=0000000000000098, ---
PC=000000000000009c, ---
PC=00000000000000a0, REG[ 4]=0000000000000001
PC=00000000000000a4, ---
PC=00000000000000a8, ---
PC=00000000000000ac, ---
PC=00000000000000b0, ---
PC=00000000000000b4, ---
PC=0000000000000028, REG[ 2]=0000000000000032
PC=000000000000002c, ---
PC=0000000000000030, ---
PC=0000000000000034, ---
PC=0000000000000038, ---
PC=000000000000003c, ---
PC=0000000000000040, ---
PC=0000000000000044, ---
PC=0000000000000048, ---
PC=000000000000004c, ---
PC=0000000000000050, REG[ 3]=0000000000000032
PC=0000000000000054, ---
PC=0000000000000058, ---
PC=000000000000005c, ---
PC=0000000000000060, ---
PC=0000000000000064, ---
PC=0000000000000068, ---
PC=000000000000006c, ---
PC=0000000000000070, ---
PC=0000000000000074, ---
PC=0000000000000078, REG[ 1]=0000000000001030
PC=000000000000007c, ---
PC=0000000000000080, ---
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=000000000000008c, REG[ 5]=0000000000000006
PC=0000000000000090, ---
PC=0000000000000094, ---
PC=0000000000000098, ---
PC=000000000000009c, ---
PC=00000000000000a0, REG[ 4]=0000000000000001
PC=00000000000000a4, ---
PC=00000000000000a8, ---
PC=00000000000000ac, ---
PC=00000000000000b0, ---
PC=00000000000000b4, ---
PC=0000000000000028, REG[ 2]=000000000000003c
PC=000000000000002c, ---
PC=0000000000000030, ---
PC=0000000000000034, ---
PC=0000000000000038, ---
PC=000000000000003c, ---
PC=0000000000000040, ---
PC=0000000000000044, ---
PC=0000000000000048, ---
PC=000000000000004c, ---
PC=0000000000000050, REG[ 3]=000000000000003c
PC=0000000000000054, ---
PC=0000000000000058, ---
PC=000000000000005c, ---
PC=0000000000000060, ---
PC=0000000000000064, ---
PC=0000000000000068, ---
PC=000000000000006c, ---
PC=0000000000000070, ---
PC=0000000000000074, ---
PC=0000000000000078, REG[ 1]=0000000000001038
PC=000000000000007c, ---
PC=0000000000000080, ---
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=000000000000008c, REG[ 5]=0000000000000007
PC=0000000000000090, ---
PC=0000000000000094, ---
PC=0000000000000098, ---
PC=000000000000009c, ---
PC=00000000000000a0, REG[ 4]=0000000000000001
PC=00000000000000a4, ---
PC=00000000000000a8, ---
PC=00000000000000ac, ---
PC=00000000000000b0, ---
PC=00000000000000b4, ---
PC=0000000000000028, REG[ 2]=0000000000000046
PC=000000000000002c, ---
PC=0000000000000030, ---
PC=0000000000000034, ---
PC=0000000000000038, ---
PC=000000000000003c, ---
PC=0000000000000040, ---
PC=0000000000000044, ---
PC=0000000000000048, ---
PC=000000000000004c, ---
PC=0000000000000050, REG[ 3]=0000000000000046
PC=0000000000000054, ---
PC=0000000000000058, ---
PC=000000000000005c, ---
PC=0000000000000060, ---
PC=0000000000000064, ---
PC=0000000000000068, ---
PC=000000000000006c, ---
PC=0000000000000070, ---
PC=0000000000000074, ---
PC=0000000000000078, REG[ 1]=0000000000001040
PC=000000000000007c, ---
PC=0000000000000080, ---
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=000000000000008c, REG[ 5]=0000000000000008
PC=0000000000000090, ---
PC=0000000000000094, ---
PC=0000000000000098, ---
PC=000000000000009c, ---
PC=00000000000000a0, REG[ 4]=0000000000000001
PC=00000000000000a4, ---
PC=00000000000000a8, ---
PC=00000000000000ac, ---
PC=00000000000000b0, ---
PC=00000000000000b4, ---
PC=0000000000000028, REG[ 2]=0000000000000050
PC=000000000000002c, ---
PC=0000000000000030, ---
PC=0000000000000034, ---
PC=0000000000000038, ---
PC=000000000000003c, ---
PC=0000000000000040, ---
PC=0000000000000044, ---
PC=0000000000000048, ---
PC=000000000000004c, ---
PC=0000000000000050, REG[ 3]=0000000000000050
PC=0000000000000054, ---
PC=0000000000000058, ---
PC=000000000000005c, ---
PC=0000000000000060, ---
PC=0000000000000064, ---
PC=0000000000000068, ---
PC=000000000000006c, ---
PC=0000000000000070, ---
PC=0000000000000074, ---
PC=0000000000000078, REG[ 1]=0000000000001048
PC=000000000000007c, ---
PC=0000000000000080, ---
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=000000000000008c, REG[ 5]=0000000000000009
PC=0000000000000090, ---
PC=0000000000000094, ---
PC=0000000000000098, ---
PC=000000000000009c, ---
PC=00000000000000a0, REG[ 4]=0000000000000001
PC=00000000000000a4, ---
PC=00000000000000a8, ---
PC=00000000000000ac, ---
PC=00000000000000b0, ---
PC=00000000000000b4, ---
PC=0000000000000028, REG[ 2]=000000000000005a
PC=000000000000002c, ---
PC=0000000000000030, ---
PC=0000000000000034, ---
PC=0000000000000038, ---
PC=000000000000003c, ---
PC=0000000000000040, ---
PC=0000000000000044, ---
PC=0000000000000048, ---
PC=000000000000004c, ---
PC=0000000000000050, REG[ 3]=000000000000005a
PC=0000000000000054, ---
PC=0000000000000058, ---
PC=000000000000005c, ---
PC=0000000000000060, ---
PC=0000000000000064, ---
PC=0000000000000068, ---
PC=000000000000006c, ---
PC=0000000000000070, ---
PC=0000000000000074, ---
PC=0000000000000078, REG[ 1]=0000000000001050
PC=000000000000007c, ---
PC=0000000000000080, ---
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=000000000000008c, REG[ 5]=000000000000000a
PC=0000000000000090, ---
PC=0000000000000094, ---
PC=0000000000000098, ---
PC=000000000000009c, ---
PC=00000000000000a0, REG[ 4]=0000000000000001
PC=00000000000000a4, ---
PC=00000000000000a8, ---
PC=00000000000000ac, ---
PC=00000000000000b0, ---
PC=00000000000000b4, ---
PC=0000000000000028, REG[ 2]=0000000000000064
PC=000000000000002c, ---
PC=0000000000000030, ---
PC=0000000000000034, ---
PC=0000000000000038, ---
PC=000000000000003c, ---
PC=0000000000000040, ---
PC=0000000000000044, ---
PC=0000000000000048, ---
PC=000000000000004c, ---
PC=0000000000000050, REG[ 3]=0000000000000064
PC=0000000000000054, ---
PC=0000000000000058, ---
PC=000000000000005c, ---
PC=0000000000000060, ---
PC=0000000000000064, ---
PC=0000000000000068, ---
PC=000000000000006c, ---
PC=0000000000000070, ---
PC=0000000000000074, ---
PC=0000000000000078, REG[ 1]=0000000000001058
PC=000000000000007c, ---
PC=0000000000000080, ---
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=000000000000008c, REG[ 5]=000000000000000b
PC=0000000000000090, ---
PC=0000000000000094, ---
PC=0000000000000098, ---
PC=000000000000009c, ---
PC=00000000000000a0, REG[ 4]=0000000000000001
PC=00000000000000a4, ---
PC=00000000000000a8, ---
PC=00000000000000ac, ---
PC=00000000000000b0, ---
PC=00000000000000b4, ---
PC=0000000000000028, REG[ 2]=000000000000006e
PC=000000000000002c, ---
PC=0000000000000030, ---
PC=0000000000000034, ---
PC=0000000000000038, ---
PC=000000000000003c, ---
PC=0000000000000040, ---
PC=0000000000000044, ---
PC=0000000000000048, ---
PC=000000000000004c, ---
PC=0000000000000050, REG[ 3]=000000000000006e
PC=0000000000000054, ---
PC=0000000000000058, ---
PC=000000000000005c, ---
PC=0000000000000060, ---
PC=0000000000000064, ---
PC=0000000000000068, ---
PC=000000000000006c, ---
PC=0000000000000070, ---
PC=0000000000000074, ---
PC=0000000000000078, REG[ 1]=0000000000001060
PC=000000000000007c, ---
PC=0000000000000080, ---
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=000000000000008c, REG[ 5]=000000000000000c
PC=0000000000000090, ---
PC=0000000000000094, ---
PC=0000000000000098, ---
PC=000000000000009c, ---
PC=00000000000000a0, REG[ 4]=0000000000000001
PC=00000000000000a4, ---
PC=00000000000000a8, ---
PC=00000000000000ac, ---
PC=00000000000000b0, ---
PC=00000000000000b4, ---
PC=0000000000000028, REG[ 2]=0000000000000078
PC=000000000000002c, ---
PC=0000000000000030, ---
PC=0000000000000034, ---
PC=0000000000000038, ---
PC=000000000000003c, ---
PC=0000000000000040, ---
PC=0000000000000044, ---
PC=0000000000000048, ---
PC=000000000000004c, ---
PC=0000000000000050, REG[ 3]=0000000000000078
PC=0000000000000054, ---
PC=0000000000000058, ---
PC=000000000000005c, ---
PC=0000000000000060, ---
PC=0000000000000064, ---
PC=0000000000000068, ---
PC=000000000000006c, ---
PC=0000000000000070, ---
PC=0000000000000074, ---
PC=0000000000000078, REG[ 1]=0000000000001068
PC=000000000000007c, ---
PC=0000000000000080, ---
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=000000000000008c, REG[ 5]=000000000000000d
PC=0000000000000090, ---
PC=0000000000000094, ---
PC=0000000000000098, ---
PC=000000000000009c, ---
PC=00000000000000a0, REG[ 4]=0000000000000001
PC=00000000000000a4, ---
PC=00000000000000a8, ---
PC=00000000000000ac, ---
PC=00000000000000b0, ---
PC=00000000000000b4, ---
PC=0000000000000028, REG[ 2]=0000000000000082
PC=000000000000002c, ---
PC=0000000000000030, ---
PC=0000000000000034, ---
PC=0000000000000038, ---
PC=000000000000003c, ---
PC=0000000000000040, ---
PC=0000000000000044, ---
PC=0000000000000048, ---
PC=000000000000004c, ---
PC=0000000000000050, REG[ 3]=0000000000000082
PC=0000000000000054, ---
PC=0000000000000058, ---
PC=000000000000005c, ---
PC=0000000000000060, ---
PC=0000000000000064, ---
PC=0000000000000068, ---
PC=000000000000006c, ---
PC=0000000000000070, ---
PC=0000000000000074, ---
PC=0000000000000078, REG[ 1]=0000000000001070
PC=000000000000007c, ---
PC=0000000000000080, ---
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=000000000000008c, REG[ 5]=000000000000000e
PC=0000000000000090, ---
PC=0000000000000094, ---
PC=0000000000000098, ---
PC=000000000000009c, ---
PC=00000000000000a0, REG[ 4]=0000000000000001
PC=00000000000000a4, ---
PC=00000000000000a8, ---
PC=00000000000000ac, ---
PC=00000000000000b0, ---
PC=00000000000000b4, ---
PC=0000000000000028, REG[ 2]=000000000000008c
PC=000000000000002c, ---
PC=0000000000000030, ---
PC=0000000000000034, ---
PC=0000000000000038, ---
PC=000000000000003c, ---
PC=0000000000000040, ---
PC=0000000000000044, ---
PC=0000000000000048, ---
PC=000000000000004c, ---
PC=0000000000000050, REG[ 3]=000000000000008c
PC=0000000000000054, ---
PC=0000000000000058, ---
PC=000000000000005c, ---
PC=0000000000000060, ---
PC=0000000000000064, ---
PC=0000000000000068, ---
PC=000000000000006c, ---
PC=0000000000000070, ---
PC=0000000000000074, ---
PC=0000000000000078, REG[ 1]=0000000000001078
PC=000000000000007c, ---
PC=0000000000000080, ---
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=000000000000008c, REG[ 5]=000000000000000f
PC=0000000000000090, ---
PC=0000000000000094, ---
PC=0000000000000098, ---
PC=000000000000009c, ---
PC=00000000000000a0, REG[ 4]=0000000000000001
PC=00000000000000a4, ---
PC=00000000000000a8, ---
PC=00000000000000ac, ---
PC=00000000000000b0, ---
PC=00000000000000b4, ---
PC=0000000000000028, REG[ 2]=0000000000000096
PC=000000000000002c, ---
PC=0000000000000030, ---
PC=0000000000000034, ---
PC=0000000000000038, ---
PC=000000000000003c, ---
PC=0000000000000040, ---
PC=0000000000000044, ---
PC=0000000000000048, ---
PC=000000000000004c, ---
PC=0000000000000050, REG[ 3]=0000000000000096
PC=0000000000000054, ---
PC=0000000000000058, ---
PC=000000000000005c, ---
PC=0000000000000060, ---
PC=0000000000000064, ---
PC=0000000000000068, ---
PC=000000000000006c, ---
PC=0000000000000070, ---
PC=0000000000000074, ---
PC=0000000000000078, REG[ 1]=0000000000001080
PC=000000000000007c, ---
PC=0000000000000080, ---
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=000000000000008c, REG[ 5]=0000000000000010
PC=0000000000000090, ---
PC=0000000000000094, ---
PC=0000000000000098, ---
PC=000000000000009c, ---
PC=00000000000000a0, REG[ 4]=0000000000000000
PC=00000000000000a4, ---
PC=00000000000000a8, ---
PC=00000000000000ac, ---
PC=00000000000000b0, ---
PC=00000000000000b4, ---
PC=00000000000000b8, ---
PC=00000000000000bc, ---
PC=00000000000000c0, ---
PC=00000000000000c4, ---
PC=00000000000000c8, ---
